model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.006,91,1.0206534590883338,1.0,,1,1.6597243646180162,1.5477320613535541,,1
mixture,100,0.006,92,1.0325639964443383,1.0,,1,1.6122602514861053,1.5477320613535541,,1
mixture,100,0.006,93,1.0116920448464883,1.0,,1,1.612892425843898,1.5477320613535541,,1
mixture,100,0.006,94,1.0348808437030252,1.0,,1,1.6184146192458728,1.5477320613535541,,1
mixture,100,0.006,95,1.0090964168732495,1.0,,1,1.6118079822063054,1.5477320613535541,,1
mixture,100,0.006,96,1.0425613129643514,1.0,,1,1.6216241133460867,1.5477320613535541,,1
mixture,100,0.006,97,1.0031774337121842,1.0,,1,1.6387738096637907,1.5477320613535541,,1
mixture,100,0.006,98,1.0252013691027226,1.0,,1,1.576907205197787,1.5477320613535541,,1
mixture,100,0.006,99,1.0232435019531685,1.0,,1,1.6176938876941114,1.5477320613535541,,1
mixture,100,0.01,0,1.02943608033504,1.0,,1,2.005757888528508,1.5477320613535541,,1
mixture,100,0.01,1,1.0396672701564342,1.0,,1,1.9413281108370455,1.5477320613535541,,1
mixture,100,0.01,2,1.05590235850957,1.0,,1,2.0018458461843913,1.5477320613535541,,1
mixture,100,0.01,3,1.056759935359471,1.0,,1,2.004963779285874,1.5477320613535541,,1
mixture,100,0.01,4,1.0567482973327298,1.0,,1,1.9715121551652532,1.5477320613535541,,1
mixture,100,0.01,5,1.019894277956232,1.0,,1,1.9882154739560618,1.5477320613535541,,1
mixture,100,0.01,6,1.043555514658868,1.0,,1,2.023313007512531,1.5477320613535541,,1
mixture,100,0.01,7,1.0606532771165171,1.0,,1,1.9821243392288386,1.5477320613535541,,1
mixture,100,0.01,8,1.041656536166142,1.0,,1,1.9643314609057783,1.5477320613535541,,1
mixture,100,0.01,9,1.0615239916936736,1.0,,1,1.9988766252097885,1.5477320613535541,,1
mixture,100,0.01,10,1.0365206900058246,1.0,,1,1.959244643309322,1.5477320613535541,,1
mixture,100,0.01,11,1.0401534133580488,1.0,,1,1.9804023557358335,1.5477320613535541,,1
mixture,100,0.01,12,1.0408379711012485,1.0,,1,2.01518026180914,1.5477320613535541,,1
mixture,100,0.01,13,1.0363293863114098,1.0,,1,2.0011769747690606,1.5477320613535541,,1
mixture,100,0.01,14,1.0337977327264272,1.0,,1,1.953547530038561,1.5477320613535541,,1
mixture,100,0.01,15,1.0277331489095152,1.0,,1,2.043333683137092,1.5477320613535541,,1
mixture,100,0.01,16,1.0225134490092986,1.0,,1,1.9613645818578815,1.5477320613535541,,1
mixture,100,0.01,17,1.0478382551002778,1.0,,1,1.98499482417371,1.5477320613535541,,1
mixture,100,0.01,18,1.0444344674486485,1.0,,1,1.9736513820330233,1.5477320613535541,,1
mixture,100,0.01,19,1.0061689137085605,1.0,,1,2.0312402695262577,1.5477320613535541,,1
mixture,100,0.01,20,1.0303845558597815,1.0,,1,2.0054561468207277,1.5477320613535541,,1
mixture,100,0.01,21,1.052621077519387,1.0,,1,1.9600360037363775,1.5477320613535541,,1
mixture,100,0.01,22,1.032219474852228,1.0,,1,1.988789372442257,1.5477320613535541,,1
mixture,100,0.01,23,1.0570654650476086,1.0,,1,2.0181548969425673,1.5477320613535541,,1
mixture,100,0.01,24,1.0309235202052032,1.0,,1,1.9438182266753565,1.5477320613535541,,1
mixture,100,0.01,25,1.0366088876344222,1.0,,1,1.982775422468909,1.5477320613535541,,1
mixture,100,0.01,26,1.0290371725778307,1.0,,1,1.964022803079872,1.5477320613535541,,1
mixture,100,0.01,27,1.0470572441310342,1.0,,1,2.0478937575281746,1.5477320613535541,,1
mixture,100,0.01,28,1.0121513665936905,1.0,,1,1.9892701873615877,1.5477320613535541,,1
mixture,100,0.01,29,1.0573380450655014,1.0,,1,1.9704136110508106,1.5477320613535541,,1
mixture,100,0.01,30,1.0517285823922553,1.0,,1,1.973956543979938,1.5477320613535541,,1
mixture,100,0.01,31,1.0510672032590258,1.0,,1,1.9667522478941755,1.5477320613535541,,1
mixture,100,0.01,32,1.0265136750997785,1.0,,1,1.978979788869672,1.5477320613535541,,1
mixture,100,0.01,33,1.0344783493335088,1.0,,1,1.980673066610442,1.5477320613535541,,1
mixture,100,0.01,34,0.9920718990324869,1.0,,0,1.9712392158675982,1.5477320613535541,,1
mixture,100,0.01,35,1.0205481405714631,1.0,,1,2.0101988685672465,1.5477320613535541,,1
mixture,100,0.01,36,1.0403516537458093,1.0,,1,1.9381905847302563,1.5477320613535541,,1
mixture,100,0.01,37,1.0308965568384119,1.0,,1,2.010624008515802,1.5477320613535541,,1
mixture,100,0.01,38,1.038927646799858,1.0,,1,1.9847302062932588,1.5477320613535541,,1
mixture,100,0.01,39,1.00736272744354,1.0,,1,1.9527428715736694,1.5477320613535541,,1
mixture,100,0.01,40,1.0507567692914446,1.0,,1,2.038907933375196,1.5477320613535541,,1
mixture,100,0.01,41,1.0129199641921434,1.0,,1,2.0279584449398014,1.5477320613535541,,1
mixture,100,0.01,42,1.0337420706201872,1.0,,1,1.9517276437045994,1.5477320613535541,,1
mixture,100,0.01,43,1.039356756073167,1.0,,1,1.971714553944095,1.5477320613535541,,1
mixture,100,0.01,44,1.0432259631230167,1.0,,1,1.9890927904158853,1.5477320613535541,,1
mixture,100,0.01,45,1.0683995315392834,1.0,,1,1.9457618084093609,1.5477320613535541,,1
mixture,100,0.01,46,1.0518325481532604,1.0,,1,1.989065597236133,1.5477320613535541,,1
mixture,100,0.01,47,1.036279926208769,1.0,,1,1.9661561642009242,1.5477320613535541,,1
mixture,100,0.01,48,1.0228380348567019,1.0,,1,1.9824855820791263,1.5477320613535541,,1
mixture,100,0.01,49,1.0479656525755041,1.0,,1,1.9361560590267826,1.5477320613535541,,1
mixture,100,0.01,50,1.0217382833412487,1.0,,1,1.9995494054449308,1.5477320613535541,,1
mixture,100,0.01,51,1.038945612657402,1.0,,1,1.9779009021430554,1.5477320613535541,,1
mixture,100,0.01,52,1.040511262543069,1.0,,1,1.9965477833319654,1.5477320613535541,,1
mixture,100,0.01,53,1.0321350471733126,1.0,,1,1.9922633652281374,1.5477320613535541,,1
mixture,100,0.01,54,1.0292322579727378,1.0,,1,2.0121254837261597,1.5477320613535541,,1
mixture,100,0.01,55,1.0198560429091181,1.0,,1,2.013130353449837,1.5477320613535541,,1
mixture,100,0.01,56,1.0233829781584556,1.0,,1,1.9883581138729107,1.5477320613535541,,1
mixture,100,0.01,57,1.0224319663246393,1.0,,1,1.9990466783362693,1.5477320613535541,,1
mixture,100,0.01,58,1.0426218456559204,1.0,,1,1.959201791650317,1.5477320613535541,,1
mixture,100,0.01,59,1.0467582795221377,1.0,,1,1.9710109608385147,1.5477320613535541,,1
mixture,100,0.01,60,1.033005971567101,1.0,,1,2.0164480549022463,1.5477320613535541,,1
mixture,100,0.01,61,1.0425613129643527,1.0,,1,1.969629776449314,1.5477320613535541,,1
mixture,100,0.01,62,1.0350193139856558,1.0,,1,1.9923507502999427,1.5477320613535541,,1
